tokens	pos	annotation
Iudocus	PROPN	
Clithoveus	PROPN	
de	ADP	
praxi	NOUN	
atque	CCONJ	
arte	NOUN	
numerandi	VERB	
compendio	NOUN	X
sum	AUX	X
edidit	VERB	
libellum	NOUN	
in	ADP	PART
quo	PRON	
disiunctim	ADV	
de	ADP	PART
utraque	DET	
supputandi	VERB	
ratione	NOUN	
tam	ADV	CCONJ
calculis	NOUN	
numeralibus	ADJ	
quam	SCONJ	CCONJ
arithmeticis	NOUN	ADJ
notis	VERB	NOUN
exercenda	VERB	
breves	ADJ	
quasdam	DET	
preceptiones	NOUN	
tradit	VERB	
que	CCONJ	
et	CCONJ	
si	SCONJ	
per	ADP	
se	PRON	
lucidae	NOUN	ADJ
sint	AUX	
pro	ADP	
maiori	ADJ	
tamen	ADV	
intellectus	NOUN	
supplemento	NOUN	
explanantur	VERB	
ab	ADP	
eodem	DET	
exemplari	ADJ	
commen	NOUN	X
tariolo	NOUN	X
habito	VERB	
enim	PART	CCONJ
quid	PRON	
sit	AUX	
calcularis	ADJ	
numeratio	NOUN	
que	CCONJ	PRON
etiam	ADV	
eius	PRON	
sint	AUX	
regule	NOUN	
subsequenter	ADV	
edisserit	VERB	
de	ADP	
additione	NOUN	
qualiter	SCONJ	
silicet	ADV	
multi	DET	
numeri	NOUN	
sigillatim	ADV	
sumpti	VERB	
in	ADP	
unum	DET	
summmarium	NOUN	
colliguntur	VERB	
item	ADV	
de	ADP	
substractione	NOUN	
quae	PRON	
a	ADP	
maiori	ADJ	
numero	NOUN	
minorem	ADJ	
subducere	VERB	
seu	CCONJ	
abstrahere	VERB	
docet	VERB	
simul	ADV	
et	CCONJ	
de	ADP	
multiplicatione	NOUN	
quae	PRON	
fit	VERB	
quoties	ADV	
ex	ADP	
ductu	NOUN	
unius	NUM	
numeri	NOUN	
in	ADP	PART
alterum	DET	
unus	NUM	
totus	DET	
numerus	NOUN	
producitur	VERB	
item	ADV	
de	ADP	
divisione	NOUN	
quae	PRON	
fit	VERB	
numerum	NOUN	
maiorem	ADJ	
per	ADP	
minorem	ADJ	
distribuendo	VERB	
ut	SCONJ	
aperte	ADV	
cognoscatur	VERB	
quoties	ADV	
minor	ADJ	
numerus	NOUN	
in	ADP	PART
maiore	ADJ	
reperitur	VERB	
quequidem	DET	
membra	NOUN	
in	ADP	PART
figurali	ADJ	
supputatione	NOUN	
prosequitur	VERB	
additis	VERB	
tamen	ADV	
tribus	NUM	
videlicet	ADV	
dimidiatione	NOUN	
dupplatione	NOUN	
progressione	NOUN	
est	AUX	
enim	PART	CCONJ
dimidiatio	NOUN	
medietatis	NOUN	
numeri	NOUN	
propositi	VERB	
acceptio	NOUN	
dupplatio	NOUN	
est	AUX	
numeri	NOUN	
ad	ADP	
datum	VERB	
numerum	NOUN	
dupli	NOUN	
assignatio	NOUN	
progressio	NOUN	
vero	ADV	
est	AUX	
numerorum	NOUN	
equaliter	ADV	
a	ADP	
se	PRON	
distantium	VERB	
et	CCONJ	
equali	ADJ	
dimisso	VERB	
interstitio	NOUN	
sumptorum	VERB	
in	ADP	PART
unam	NUM	
summam	ADJ	
collectio	NOUN	
de	ADP	
quibus	PRON	
nonnullas	DET	
tradens	VERB	
regulas	NOUN	
finem	NOUN	
operi	NOUN	
facit	VERB	
