tokens	pos	annotation
Liber	NOUN	
quidam	DET	
de	ADP	
simplicibus	ADJ	
medicinis	NOUN	
tam	ADV	CCONJ
medicis	ADJ	
quam	SCONJ	CCONJ
eorum	PRON	
ministris	NOUN	
pharmacopolis	NOUN	
apprime	ADV	
necessariis	ADJ	
posteris	ADJ	
relictus	VERB	
est	AUX	
qui	PRON	
ascribitur	VERB	
cuidam	DET	
Plateario	PROPN	
auctoris	NOUN	
ut	SCONJ	
suspitione	NOUN	
ducor	VERB	
cognomento	NOUN	
pro	ADP	
auctorum	VERB	NOUN
intellecto	VERB	
et	CCONJ	
est	AUX	
vulgo	NOUN	
circa	ADP	
instans	NOUN	VERB
dictus	VERB	
eam	PRON	
q	CCONJ	NOUN
†tionem	NOUN	X
sortitus	VERB	
ex	ADP	
hoc	DET	
sui	PRON	
ex	ADP	NOUN
†dio	NOUN	X
circa	ADP	
instans	NOUN	VERB
negocium	NOUN	
de	ADP	
simplicibus	ADJ	
medicinis	NOUN	
numerum	NOUN	
versatur	VERB	
propositum	VERB	
est	AUX	
autem	PART	CCONJ
huius	DET	
libri	NOUN	
tractatio	NOUN	
de	ADP	
simplicibus	ADJ	
medicinis	NOUN	
ut	SCONJ	
sunt	AUX	
herbe	NOUN	
frutices	NOUN	
flores	NOUN	
liquores	NOUN	
semina	NOUN	
item	ADV	
nonnulla	NOUN	
mineralia	ADJ	
que	PRON	
omnia	DET	
alphabetico	ADJ	
ordine	NOUN	
digesta	VERB	
sunt	AUX	
quatenus	SCONJ	
silicet	ADV	
ab	ADP	
effectu	NOUN	
simul	ADV	
et	CCONJ	
causis	NOUN	
cognosci	VERB	
habeant	VERB	
docentur	VERB	
enim	PART	
in	ADP	
eo	PRON	
omnium	DET	
istarum	DET	
diffinitiones	NOUN	
item	ADV	
et	ADV	CCONJ
effectus	NOUN	
et	CCONJ	
nature	NOUN	
post	ADV	
que	CCONJ	PRON
deinde	ADV	
operationis	NOUN	
causa	NOUN	
clarescit	VERB	
qua	PRON	
declarata	VERB	
effectus	NOUN	
pro	ADP	
iis	PRON	
qui	PRON	
speculationi	NOUN	
tepidius	ADV	
incumbunt	VERB	
sic	ADV	
explicantur	VERB	
ut	SCONJ	
vel	CCONJ	
semidoctis	VERB	
philosophie	NOUN	
secreta	VERB	
pateant	VERB	
in	ADP	
principio	NOUN	
autem	PART	
huius	DET	
libri	NOUN	
questione	NOUN	
commodum	ADV	
proposita	VERB	
cur	ADV	
medicine	NOUN	
componite	VERB	
fuerint	AUX	
invente	VERB	
cum	SCONJ	
omnis	DET	
virtus	NOUN	
que	PRON	
in	ADP	
compositis	NOUN	VERB
est	AUX	
reperiatur	VERB	
in	ADP	
simplicibus	ADJ	
et	CCONJ	
pregustato	VERB	
simplicem	ADJ	
medicinam	ADJ	
esse	AUX	
eam	PRON	
que	CCONJ	PRON
talis	DET	
est	AUX	
qualis	DET	
a	ADP	
natura	NOUN	
producitur	VERB	
compositam	VERB	
que	CCONJ	PRON
ex	ADP	
mixtione	NOUN	
simplicium	ADJ	
conficitur	VERB	
haud	PART	
occiosam	VERB	
fuisse	AUX	
earum	PRON	
inventionem	NOUN	
deducitur	VERB	
in	ADP	
primis	ADJ	
morbi	NOUN	
incidentis	NOUN	VERB
violentia	NOUN	
secundo	ADJ	
morborum	NOUN	
contrarietate	NOUN	
tertio	ADV	
membrorum	NOUN	
contraria	ADJ	
dispositione	NOUN	
et	CCONJ	
aliquorum	DET	
nobilitate	NOUN	
cum	SCONJ	
enim	PART	
uno	NUM	
ac	CCONJ	
simplici	ADJ	
langore	NOUN	
corpus	NOUN	
humanum	ADJ	
affici	VERB	
contingat	VERB	
respondentem	VERB	
oportuit	VERB	
affectibus	NOUN	
invenire	VERB	
medelam	NOUN	
