,tokens,pos,annotation
0,Rusticus,ADJ,
1,Placentinus,PROPN,
2,sub,ADP,
3,ea,PRON,
4,tempora,NOUN,
5,quibus,PRON,
6,Franciscus,PROPN,
7,francorum,NOUN,
8,rex,NOUN,
9,mediolanensem,ADJ,
10,ducatum,NOUN,
11,occupavit,VERB,
12,cum,SCONJ,
13,forte,NOUN,
14,fortuna,NOUN,
15,Simphorianus,PROPN,
16,Champerius,PROPN,
17,papiam,NOUN,
18,versus,ADV,
19,digressus,VERB,
20,commitatus,VERB,
21,enim,PART,
22,antea,ADV,
23,regem,NOUN,
24,fuerat,AUX,
25,medicorum,NOUN,
26,gimnasium,NOUN,
27,ingrederetur,VERB,
28,Rusticus,ADJ,
29,Placentinus,PROPN,
30,panegyricum,NOUN,
31,in,ADP,
32,eius,PRON,
33,ingressu,NOUN,
34,dixit,VERB,
35,oratiungulam,NOUN,
36,qua,PRON,
37,ingentes,ADJ,
38,Simphoriani,PROPN,
39,laudes,NOUN,
40,recensens,VERB,
41,a,ADP,
42,mutivaga,ADJ,
43,eius,PRON,
44,doctrina,NOUN,
45,et,CCONJ,
46,indefesso,DET,
47,studio,NOUN,
48,ad,ADP,
49,bonas,ADJ,
50,literas,NOUN,
51,beandas,ADJ,
52,atque,CCONJ,
53,adaugendas,VERB,
54,ei,PRON,
55,confecit,VERB,
56,encomion,NOUN,
