,tokens,pos
0,Egidius,PROPN
1,a,ADP
2,Roma,PROPN
3,ordinis,NOUN
4,heremitarum,NOUN
5,divi,ADJ
6,Augustini,PROPN
7,sectator,NOUN
8,de,ADP
9,regimine,NOUN
10,principum,NOUN
11,volumen,NOUN
12,quoddam,DET
13,edidit,VERB
14,lectionis,NOUN
15,admodum,ADV
16,fructiferae,ADJ
17,quo,PRON
18,in,ADP
19,treis,NOUN
20,partiales,ADJ
21,libellos,NOUN
22,dissecto,VERB
23,docet,VERB
24,in,ADP
25,eis,PRON
26,permixtim,ADV
27,qualis,DET
28,debeat,VERB
29,esse,AUX
30,principum,NOUN
31,educatio,NOUN
32,quodve,SCONJ
33,sit,AUX
34,educatorum,NOUN
35,ac,CCONJ
36,iam,ADV
37,in,ADP
38,suo,DET
39,regno,NOUN
40,constitutorum,VERB
41,offitium,NOUN
42,et,CCONJ
43,quae,PRON
44,sit,AUX
45,laudabiliter,ADV
46,instituta,VERB
47,oeconomia,NOUN
48,seu,CCONJ
49,politia,NOUN
50,familiaris,NOUN
51,et,CCONJ
52,domestica,ADJ
53,quaeve,ADV
54,ad,ADP
55,laudatissimam,ADJ
56,requirantur,VERB
57,rempublicam,NOUN
58,quae,PRON
59,ut,SCONJ
60,spetialius,ADV
61,de,ADP
62,articulem,NOUN
63,secundum,ADP
64,librorum,NOUN
65,sectiones,NOUN
66,procedamquorum,VERB
67,primus,ADJ
68,in,ADP
69,quatuor,NUM
70,dissecus,ADV
71,est,AUX
72,particulas,NOUN
73,quarum,PRON
74,prima,ADJ
75,docet,VERB
76,in,ADP
77,quo,PRON
78,sit,AUX
79,ponenda,VERB
80,foelicitas,NOUN
81,ac,CCONJ
82,in,ADP
83,quo,PRON
84,reges,NOUN
85,et,CCONJ
86,principes,NOUN
87,eam,PRON
88,collocare,VERB
89,debent,VERB
90,ubi,SCONJ
91,post,ADP
92,multas,DET
93,negationes,NOUN
94,quibus,PRON
95,felicitatem,NOUN
96,a,ADP
97,voluptate,NOUN
98,a,ADP
99,divitiis,NOUN
100,ab,ADP
101,honore,NOUN
102,a,ADP
103,potentia,NOUN
104,civili,ADJ
105,et,CCONJ
106,quibus,PRON
107,vis,VERB
108,denique,ADV
109,bonis,ADJ
110,temporalibus,ADJ
111,separat,VERB
112,tamdem,ADV
113,in,ADP
114,solo,DET
115,Dei,PROPN
116,amore,NOUN
117,et,CCONJ
118,in,ADP
119,actu,NOUN
120,prudentiae,NOUN
121,eam,PRON
122,statuit,VERB
123,de,ADP
124,inde,ADV
125,in,ADP
126,secunda,ADJ
127,particula,NOUN
128,huius,DET
129,primi,ADJ
130,libri,NOUN
131,docet,VERB
132,quas,PRON
133,virtutes,NOUN
134,habere,VERB
135,debeant,VERB
136,reges,NOUN
137,atque,CCONJ
138,principes,NOUN
139,cuius,PRON
140,rei,NOUN
141,gratia,NOUN
142,de,ADP
143,distinctione,NOUN
144,potentiarum,NOUN
145,animae,NOUN
146,de,ADP
147,subiecto,NOUN
148,virtutum,NOUN
149,quod,PRON
150,intellectum,NOUN
151,et,CCONJ
152,appetitum,NOUN
153,statuit,VERB
154,et,CCONJ
155,de,ADP
156,quidditate,NOUN
157,omnium,DET
158,virtutum,NOUN
159,deque,CCONJ
160,virtutum,NOUN
161,obiectis,NOUN
162,et,CCONJ
163,iis,PRON
164,in,ADP
165,quibus,PRON
166,consistunt,VERB
167,abunde,ADV
168,hic,ADV
169,edisserit,VERB
170,in,ADP
171,tertia,ADJ
172,vero,ADV
173,huius,DET
174,libri,NOUN
175,particula,NOUN
176,docet,VERB
177,quas,PRON
178,animae,NOUN
179,passiones,NOUN
180,sequi,VERB
181,debeant,VERB
182,reges,NOUN
183,atque,CCONJ
184,principes,NOUN
185,quo,PRON
186,fit,VERB
187,ut,SCONJ
188,de,ADP
189,animae,NOUN
190,passionum,NOUN
191,natura,NOUN
192,plurima,DET
193,hic,ADV
194,discutiat,VERB
195,deinde,ADV
196,in,ADP
197,quarta,ADJ
198,particula,NOUN
199,docet,VERB
200,qui,PRON
201,sint,AUX
202,iuvenum,ADJ
203,quive,CCONJ
204,senum,NOUN
205,tam,ADV
206,nobilium,NOUN
207,quam,SCONJ
208,ignobilium,ADJ
209,mores,NOUN
210,et,CCONJ
211,qui,PRON
212,horum,DET
213,sint,AUX
214,laudabiles,ADJ
215,et,CCONJ
216,qui,PRON
217,vitio,NOUN
218,dandi,VERB
219,quibus,PRON
220,edoctis,VERB
221,secundum,ADP
222,librum,NOUN
223,exorditur,VERB
224,quo,PRON
225,in,ADP
226,treis,ADJ
227,parteis,NOUN
228,dissecto,VERB
229,in,ADP
230,prima,ADJ
231,docet,VERB
232,quo,PRON
233,regimine,NOUN
234,reges,NOUN
235,et,CCONJ
236,principes,NOUN
237,debeant,VERB
238,suas,DET
239,coniuges,NOUN
240,regere,VERB
241,ubi,ADV
242,permixtim,ADV
243,habent,VERB
244,et,CCONJ
245,cives,NOUN
246,quique,DET
247,qualiter,SCONJ
248,familiam,NOUN
249,suam,DET
250,instituere,VERB
251,debeant,VERB
252,qualiter,SCONJ
253,que,CCONJ
254,sit,AUX
255,uxoribus,NOUN
256,convivendum,VERB
257,ac,CCONJ
258,quae,PRON
259,et,CCONJ
260,quibus,PRON
261,dotibus,NOUN
262,tam,ADV
263,interius,ADV
264,quam,SCONJ
265,exterius,ADV
266,predicta,DET
267,uxor,NOUN
268,sit,AUX
269,ducenda,VERB
270,deinde,ADV
271,in,ADP
272,secunda,ADJ
273,parte,NOUN
274,docet,VERB
275,quae,PRON
276,habenda,VERB
277,sit,AUX
278,ratio,NOUN
279,educationis,NOUN
280,filiorum,NOUN
281,tam,ADV
282,a,ADP
283,civibus,NOUN
284,quam,SCONJ
285,a,ADP
286,principibus,NOUN
287,et,CCONJ
288,quibus,PRON
289,disciplinis,NOUN
290,atque,CCONJ
291,moribus,NOUN
292,sint,AUX
293,imbuendi,VERB
294,ac,CCONJ
295,sub,ADP
296,quo,PRON
297,preceptore,NOUN
298,debeant,VERB
299,militare,VERB
300,in,ADP
